userId,movieId,vote_average
281,tt1375666,8.364
102,tt0816692,8.417
651,tt0468569,8.512
983,tt0499549,7.573
537,tt0848228,7.71
403,tt1431045,7.606
93,tt4154756,8.255
949,tt0137523,8.438
636,tt2015381,7.906
654,tt0110912,8.488
966,tt0109830,8.477
753,tt0241527,7.916
887,tt0371746,7.64
130,tt1853728,8.171
733,tt0111161,8.702
65,tt4154796,8.263
87,tt0133093,8.206
787,tt0120338,7.9
873,tt7286456,8.168
371,tt0120737,8.402
214,tt0167260,8.474
962,tt1130884,8.2
879,tt0993846,8.035
702,tt2395427,7.276
95,tt3498820,7.4
528,tt1345836,7.777
571,tt1300854,6.928
833,tt1825683,7.39
167,tt1211837,7.427
717,tt1392190,7.582
582,tt0361748,8.215
914,tt1392170,7.193
207,tt2250912,7.345
436,tt0295297,7.721
175,tt3896198,7.624
379,tt0167261,8.385
916,tt0458339,6.995
466,tt1386697,5.909
540,tt0304141,8.02
264,tt0800369,6.768
769,tt1228705,6.835
317,tt0372784,7.701
597,tt3501632,7.595
805,tt2096673,7.922
469,tt0369610,6.682
190,tt0114369,8.368
943,tt0330373,7.816
488,tt0325980,7.794
991,tt1201607,8.105
708,tt0076759,8.204
137,tt0451279,7.236
800,tt1049413,7.949
439,tt0478970,7.082
818,tt0068646,8.707
382,tt3659388,7.678
39,tt0088763,8.314
273,tt2488496,7.293
388,tt10872600,7.99
237,tt0373889,7.686
325,tt0417741,7.697
326,tt3315342,7.8
334,tt0266543,7.824
745,tt1396484,7.242
80,tt2911666,7.421
29,tt3183660,7.334
132,tt0926084,7.763
152,tt2380307,8.222
610,tt1843866,7.671
148,tt0145487,7.279
560,tt0910970,8.078
240,tt2267998,7.892
790,tt0903624,7.339
877,tt0198781,7.835
848,tt0114709,7.971
293,tt1663202,7.5
220,tt2975590,5.952
189,tt0110357,8.256
437,tt0172495,8.209
262,tt0120382,8.133
557,tt0317705,7.704
555,tt2543164,7.6
457,tt6751668,8.515
40,tt1981115,6.538
927,tt0948470,6.691
269,tt4972582,7.337
818,tt5463162,7.492
596,tt0081505,8.218
667,tt0266697,7.97
26,tt1951264,7.4
957,tt1675434,8.277
525,tt5052448,7.62
399,tt2084970,8.007
181,tt1727824,7.997
853,tt0120689,8.507
526,tt1790864,7.173
539,tt1119646,7.312
314,tt0080684,8.4
287,tt0126029,7.73
138,tt0382932,7.809
402,tt2802144,7.636
979,tt3783958,7.897
936,tt2294629,7.2
422,tt5013056,7.456
372,tt2948356,7.748
29,tt2872732,6.44
304,tt0107290,7.941
879,tt0102926,8.3
736,tt0245429,8.539
615,tt2771200,6.967
729,tt0383574,7.346
92,tt2245084,7.738
679,tt1670345,7.345
932,tt1951265,6.796
109,tt1270797,6.826
323,tt0482571,8.203
113,tt0480249,7.201
763,tt0120815,8.209
618,tt4154664,6.843
928,tt3890160,7.5
240,tt0108052,8.573
784,tt0086190,7.892
868,tt6320628,7.447
35,tt1074638,7.227
46,tt1454468,7.162
170,tt1877832,7.5
152,tt1677720,7.6
591,tt0816711,6.807
133,tt0264464,7.971
88,tt3748528,7.488
751,tt2527336,6.825
201,tt0770828,6.614
545,tt1323594,7.227
356,tt0316654,7.258
887,tt4633694,8.404
654,tt0367594,7.04
972,tt2582802,8.381
324,tt0407887,8.166
914,tt2278388,8.049
285,tt0435761,7.792
993,tt0209144,8.188
808,tt0338013,8.101
978,tt0110413,8.316
243,tt0947798,7.672
978,tt0434409,7.897
844,tt0120915,6.5
226,tt1798709,7.862
644,tt0449088,7.239
388,tt2310332,7.309
791,tt0105236,8.132
276,tt3460252,7.746
104,tt0078748,8.147
675,tt0988045,7.202
32,tt1014759,6.627
120,tt1298650,6.538
79,tt0413300,6.398
5,tt6644200,7.396
272,tt1477834,6.9
928,tt0378194,7.876
460,tt0317219,6.936
109,tt0120363,7.589
427,tt0119654,7.184
8,tt1631867,7.606
658,tt0416449,7.175
524,tt2283362,6.827
858,tt0083658,7.931
476,tt0121766,7.411
156,tt2119532,8.195
718,tt1099212,6.286
295,tt1217209,7.012
11,tt5095030,6.951
294,tt1587310,7.09
972,tt1355644,6.934
358,tt0454876,7.398
105,tt0470752,7.572
506,tt1872181,6.498
800,tt1856101,7.544
663,tt0268380,7.348
50,tt0121765,6.6
363,tt0974015,6.098
40,tt1170358,7.57
373,tt7131622,7.437
882,tt0118799,8.455
594,tt3385516,6.513
768,tt2562232,7.471
444,tt1840309,6.92
736,tt2179136,7.427
219,tt0892769,7.813
296,tt3606756,7.481
224,tt0099487,7.716
119,tt4425200,7.323
679,tt1270798,7.296
838,tt0066921,8.2
414,tt0421715,7.579
663,tt0088247,7.646
39,tt0096874,7.752
275,tt0103064,8.104
31,tt0099685,8.464
296,tt0780504,7.572
130,tt1663662,6.878
570,tt1951266,6.9
83,tt1772341,7.3
25,tt0246578,7.8
523,tt1637725,6.407
369,tt1343092,7.379
732,tt3521164,7.6
630,tt5580390,7.247
874,tt0082971,7.924
847,tt1156398,7.3
565,tt2277860,7.042
513,tt2674426,7.918
287,tt8579674,7.99
180,tt5726616,8.167
435,tt1045658,7.13
620,tt0298148,7.249
262,tt1190080,5.819
252,tt0071562,8.591
15,tt0169547,8.0
955,tt1446714,6.535
982,tt1285016,7.358
345,tt1790809,6.648
123,tt8946378,7.847
911,tt0119217,8.149
916,tt2322441,5.882
130,tt0458352,7.384
217,tt0075314,8.2
470,tt1517451,7.503
145,tt2713180,7.518
